County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
44 - Santa Cruz,5/7/2015,In Closure,$450799.00,5,
45 - Shasta,5/7/2015,In Review,$22248265.00,19,
45 - Shasta,5/7/2015,Pending Construction,$1791415.00,17,
45 - Shasta,5/7/2015,In Construction,$10288621.00,29,
45 - Shasta,5/7/2015,In Closure,$1351265.00,4,
46 - Sierra,5/7/2015,In Review,$0.00,0,
46 - Sierra,5/7/2015,Pending Construction,$0.00,0,
46 - Sierra,5/7/2015,In Construction,$0.00,0,
46 - Sierra,5/7/2015,In Closure,$0.00,0,
47 - Siskiyou,5/7/2015,In Review,$942607.00,6,
47 - Siskiyou,5/7/2015,Pending Construction,$828700.00,3,
47 - Siskiyou,5/7/2015,In Construction,$896008.00,8,
47 - Siskiyou,5/7/2015,In Closure,$181064.00,4,
48 - Solano,5/7/2015,In Review,$59818839.00,20,Bay Area Counties
48 - Solano,5/7/2015,Pending Construction,$969881.00,6,Bay Area Counties
48 - Solano,5/7/2015,In Construction,$45348073.00,31,Bay Area Counties
48 - Solano,5/7/2015,In Closure,$5766305.00,18,Bay Area Counties
49 - Sonoma,5/7/2015,In Review,$6999793.00,25,Bay Area Counties
49 - Sonoma,5/7/2015,Pending Construction,$1963684.00,19,Bay Area Counties
49 - Sonoma,5/7/2015,In Construction,$20475473.00,46,Bay Area Counties
49 - Sonoma,5/7/2015,In Closure,$125481090.00,23,Bay Area Counties
50 - Stanislaus,5/7/2015,In Review,$8790028.00,13,
50 - Stanislaus,5/7/2015,Pending Construction,$5638708.00,24,
50 - Stanislaus,5/7/2015,In Construction,$26647638.00,39,
50 - Stanislaus,5/7/2015,In Closure,$12817323.00,20,
51 - Sutter,5/7/2015,In Review,$12000.00,2,
51 - Sutter,5/7/2015,Pending Construction,$12704683.00,3,
51 - Sutter,5/7/2015,In Construction,$280767.00,2,
51 - Sutter,5/7/2015,In Closure,$0.00,0,
52 - Tehama,5/7/2015,In Review,$489636.00,3,
52 - Tehama,5/7/2015,Pending Construction,$399575.00,5,
52 - Tehama,5/7/2015,In Construction,$2195252.00,7,
52 - Tehama,5/7/2015,In Closure,$0.00,0,
53 - Trinity,5/7/2015,In Review,$178200.00,4,
53 - Trinity,5/7/2015,Pending Construction,$858500.00,3,
53 - Trinity,5/7/2015,In Construction,$115025.00,1,
53 - Trinity,5/7/2015,In Closure,$0.00,0,
54 - Tulare,5/7/2015,In Review,$29402800.00,12,
54 - Tulare,5/7/2015,Pending Construction,$719000.00,8,
54 - Tulare,5/7/2015,In Construction,$79480247.00,23,
54 - Tulare,5/7/2015,In Closure,$2217050.00,9,
55 - Tuolumne,5/7/2015,In Review,$1405127.00,1,
55 - Tuolumne,5/7/2015,Pending Construction,$0.00,0,
55 - Tuolumne,5/7/2015,In Construction,$422961.00,3,
55 - Tuolumne,5/7/2015,In Closure,$525364.00,3,
56 - Ventura,5/7/2015,In Review,$89683217.00,45,Greater Los Angeles Counties
56 - Ventura,5/7/2015,Pending Construction,$14376782.00,42,Greater Los Angeles Counties
56 - Ventura,5/7/2015,In Construction,$569568435.00,97,Greater Los Angeles Counties
56 - Ventura,5/7/2015,In Closure,$39349250.00,35,Greater Los Angeles Counties
57 - Yolo,5/7/2015,In Review,$2748305.00,10,Greater Sacramento Counties
57 - Yolo,5/7/2015,Pending Construction,$280071.00,7,Greater Sacramento Counties
57 - Yolo,5/7/2015,In Construction,$4761004.00,14,Greater Sacramento Counties
57 - Yolo,5/7/2015,In Closure,$940236.00,2,Greater Sacramento Counties
58 - Yuba,5/7/2015,In Review,$5452000.00,4,
58 - Yuba,5/7/2015,Pending Construction,$45943275.00,3,
58 - Yuba,5/7/2015,In Construction,$94851513.00,6,
58 - Yuba,5/7/2015,In Closure,$239311.00,3,
01 - Alameda,5/21/2015,In Review,$157554176.00,61,Bay Area Counties
01 - Alameda,5/21/2015,Pending Construction,$54888963.00,121,Bay Area Counties
01 - Alameda,5/21/2015,In Construction,$619967114.00,143,Bay Area Counties
01 - Alameda,5/21/2015,In Closure,$1299088855.00,120,Bay Area Counties
02 - Alpine,5/21/2015,In Review,$0.00,0,
02 - Alpine,5/21/2015,Pending Construction,$0.00,0,
02 - Alpine,5/21/2015,In Construction,$0.00,0,
02 - Alpine,5/21/2015,In Closure,$0.00,0,
03 - Amador,5/21/2015,In Review,$6000.00,1,
03 - Amador,5/21/2015,Pending Construction,$68225.00,2,
03 - Amador,5/21/2015,In Construction,$3880131.00,5,
03 - Amador,5/21/2015,In Closure,$740744.00,6,
04 - Butte,5/21/2015,In Review,$3384470.00,9,
04 - Butte,5/21/2015,Pending Construction,$4329355.00,12,
04 - Butte,5/21/2015,In Construction,$87769331.00,17,
04 - Butte,5/21/2015,In Closure,$1809549.00,3,
05 - Calaveras,5/21/2015,In Review,$0.00,0,
05 - Calaveras,5/21/2015,Pending Construction,$0.00,0,
05 - Calaveras,5/21/2015,In Construction,$503577.00,4,
05 - Calaveras,5/21/2015,In Closure,$50733.00,2,
06 - Colusa,5/21/2015,In Review,$0.00,0,
06 - Colusa,5/21/2015,Pending Construction,$0.00,0,
06 - Colusa,5/21/2015,In Construction,$146603.00,2,
06 - Colusa,5/21/2015,In Closure,$61382.00,3,
07 - Contra Costa,5/21/2015,In Review,$37047945.00,36,Bay Area Counties
07 - Contra Costa,5/21/2015,Pending Construction,$13852086.00,36,Bay Area Counties
07 - Contra Costa,5/21/2015,In Construction,$23659122.00,58,Bay Area Counties
07 - Contra Costa,5/21/2015,In Closure,$18283268.00,33,Bay Area Counties
08 - Del Norte,5/21/2015,In Review,$2100000.00,2,
08 - Del Norte,5/21/2015,Pending Construction,$14000.00,2,
08 - Del Norte,5/21/2015,In Construction,$1203962.00,2,
08 - Del Norte,5/21/2015,In Closure,$0.00,0,
09 - El Dorado,5/21/2015,In Review,$8591234.00,8,Greater Sacramento Counties
09 - El Dorado,5/21/2015,Pending Construction,$3515500.00,3,Greater Sacramento Counties
09 - El Dorado,5/21/2015,In Construction,$7772280.00,10,Greater Sacramento Counties
09 - El Dorado,5/21/2015,In Closure,$33600918.00,4,Greater Sacramento Counties
10 - Fresno,5/21/2015,In Review,$37191382.00,21,
10 - Fresno,5/21/2015,Pending Construction,$15301349.00,37,
10 - Fresno,5/21/2015,In Construction,$76609431.00,81,
10 - Fresno,5/21/2015,In Closure,$208219087.00,57,
11 - Glenn,5/21/2015,In Review,$12912075.00,1,
11 - Glenn,5/21/2015,Pending Construction,$50000.00,1,
11 - Glenn,5/21/2015,In Construction,$284685.00,1,
11 - Glenn,5/21/2015,In Closure,$50000.00,1,
12 - Humboldt,5/21/2015,In Review,$12139500.00,7,
12 - Humboldt,5/21/2015,Pending Construction,$687000.00,6,
12 - Humboldt,5/21/2015,In Construction,$88847110.00,13,
12 - Humboldt,5/21/2015,In Closure,$722044.00,5,
13 - Imperial,5/21/2015,In Review,$535000.00,4,
13 - Imperial,5/21/2015,Pending Construction,$20334000.00,3,
13 - Imperial,5/21/2015,In Construction,$8529958.00,8,
13 - Imperial,5/21/2015,In Closure,$210000.00,2,
14 - Inyo,5/21/2015,In Review,$30000.00,1,
14 - Inyo,5/21/2015,Pending Construction,$0.00,0,
14 - Inyo,5/21/2015,In Construction,$50996.00,3,
14 - Inyo,5/21/2015,In Closure,$20380.00,2,
15 - Kern,5/21/2015,In Review,$12263171.00,25,
15 - Kern,5/21/2015,Pending Construction,$1791736.00,16,
15 - Kern,5/21/2015,In Construction,$65374743.00,36,
15 - Kern,5/21/2015,In Closure,$7643178.00,18,
16 - Kings,5/21/2015,In Review,$0.00,0,
16 - Kings,5/21/2015,Pending Construction,$65000.00,2,
16 - Kings,5/21/2015,In Construction,$28357274.00,4,
16 - Kings,5/21/2015,In Closure,$258679.00,8,
17 - Lake,5/21/2015,In Review,$2106374.00,4,
17 - Lake,5/21/2015,Pending Construction,$230000.00,2,
17 - Lake,5/21/2015,In Construction,$11547123.00,11,
17 - Lake,5/21/2015,In Closure,$1927791.00,9,
18 - Lassen,5/21/2015,In Review,$0.00,0,
18 - Lassen,5/21/2015,Pending Construction,$1897600.00,8,
18 - Lassen,5/21/2015,In Construction,$918900.00,8,
18 - Lassen,5/21/2015,In Closure,$518863.00,3,
19 - Los Angeles,5/21/2015,In Review,$582286902.00,566,Greater Los Angeles Counties
19 - Los Angeles,5/21/2015,Pending Construction,$232571118.00,487,Greater Los Angeles Counties
19 - Los Angeles,5/21/2015,In Construction,$856931456.00,862,Greater Los Angeles Counties
19 - Los Angeles,5/21/2015,In Closure,$1262507133.00,596,Greater Los Angeles Counties
20 - Madera,5/21/2015,In Review,$5786257.00,9,
20 - Madera,5/21/2015,Pending Construction,$1065710.00,11,
20 - Madera,5/21/2015,In Construction,$4234273.00,14,
20 - Madera,5/21/2015,In Closure,$14807650.00,11,
21 - Marin,5/21/2015,In Review,$214822804.00,29,Bay Area Counties
21 - Marin,5/21/2015,Pending Construction,$2978955.00,14,Bay Area Counties
21 - Marin,5/21/2015,In Construction,$32942559.00,21,Bay Area Counties
21 - Marin,5/21/2015,In Closure,$2980032.00,14,Bay Area Counties
22 - Mariposa,5/21/2015,In Review,$198686.00,1,
22 - Mariposa,5/21/2015,Pending Construction,$0.00,0,
22 - Mariposa,5/21/2015,In Construction,$163850.00,1,
22 - Mariposa,5/21/2015,In Closure,$0.00,0,
23 - Mendocino,5/21/2015,In Review,$550213.00,14,
23 - Mendocino,5/21/2015,Pending Construction,$286750.00,10,
23 - Mendocino,5/21/2015,In Construction,$66173281.00,22,
23 - Mendocino,5/21/2015,In Closure,$684067.00,5,
24 - Merced,5/21/2015,In Review,$105266.00,5,
24 - Merced,5/21/2015,Pending Construction,$447000.00,8,
24 - Merced,5/21/2015,In Construction,$13196524.00,7,
24 - Merced,5/21/2015,In Closure,$443097.00,3,
25 - Modoc,5/21/2015,In Review,$0.00,0,
25 - Modoc,5/21/2015,Pending Construction,$0.00,0,
25 - Modoc,5/21/2015,In Construction,$0.00,0,
25 - Modoc,5/21/2015,In Closure,$0.00,0,
26 - Mono,5/21/2015,In Review,$95397.00,1,
26 - Mono,5/21/2015,Pending Construction,$60000.00,1,
26 - Mono,5/21/2015,In Construction,$22398.00,4,
26 - Mono,5/21/2015,In Closure,$0.00,0,
27 - Monterey,5/21/2015,In Review,$19298481.00,22,
27 - Monterey,5/21/2015,Pending Construction,$1686727.00,9,
27 - Monterey,5/21/2015,In Construction,$35150842.00,11,
27 - Monterey,5/21/2015,In Closure,$284770.00,1,
28 - Napa,5/21/2015,In Review,$2829600.00,20,Bay Area Counties
28 - Napa,5/21/2015,Pending Construction,$19140.00,3,Bay Area Counties
28 - Napa,5/21/2015,In Construction,$35171718.00,21,Bay Area Counties
28 - Napa,5/21/2015,In Closure,$49179175.00,11,Bay Area Counties
29 - Nevada,5/21/2015,In Review,$5506200.00,6,
29 - Nevada,5/21/2015,Pending Construction,$400000.00,2,
29 - Nevada,5/21/2015,In Construction,$47637849.00,24,
29 - Nevada,5/21/2015,In Closure,$9779143.00,9,
30 - Orange,5/21/2015,In Review,$36292655.00,83,Greater Los Angeles Counties
30 - Orange,5/21/2015,Pending Construction,$19440064.00,73,Greater Los Angeles Counties
30 - Orange,5/21/2015,In Construction,$119696141.00,186,Greater Los Angeles Counties
30 - Orange,5/21/2015,In Closure,$114593919.00,175,Greater Los Angeles Counties
31 - Placer,5/21/2015,In Review,$8297331.00,20,Greater Sacramento Counties
31 - Placer,5/21/2015,Pending Construction,$854330.00,10,Greater Sacramento Counties
31 - Placer,5/21/2015,In Construction,$23607106.00,36,Greater Sacramento Counties
31 - Placer,5/21/2015,In Closure,$101247515.00,19,Greater Sacramento Counties
32 - Plumas,5/21/2015,In Review,$113118.00,2,
32 - Plumas,5/21/2015,Pending Construction,$121437.00,6,
32 - Plumas,5/21/2015,In Construction,$76962.00,2,
32 - Plumas,5/21/2015,In Closure,$0.00,0,
33 - Riverside,5/21/2015,In Review,$229815709.00,88,
33 - Riverside,5/21/2015,Pending Construction,$232551489.00,73,
33 - Riverside,5/21/2015,In Construction,$133626353.00,126,
33 - Riverside,5/21/2015,In Closure,$19613317.00,70,
34 - Sacramento,5/21/2015,In Review,$102034027.00,74,Greater Sacramento Counties
34 - Sacramento,5/21/2015,Pending Construction,$106618741.00,45,Greater Sacramento Counties
34 - Sacramento,5/21/2015,In Construction,$282258786.00,129,Greater Sacramento Counties
34 - Sacramento,5/21/2015,In Closure,$115545137.00,58,Greater Sacramento Counties
35 - San Benito,5/21/2015,In Review,$141802.00,2,
35 - San Benito,5/21/2015,Pending Construction,$167000.00,2,
35 - San Benito,5/21/2015,In Construction,$14008205.00,3,
35 - San Benito,5/21/2015,In Closure,$250000.00,1,
36 - San Bernardino,5/21/2015,In Review,$648256202.00,72,
36 - San Bernardino,5/21/2015,Pending Construction,$7902740.00,65,
36 - San Bernardino,5/21/2015,In Construction,$183238491.00,140,
36 - San Bernardino,5/21/2015,In Closure,$36332385.00,72,
37 - San Diego,5/21/2015,In Review,$84061349.00,129,
37 - San Diego,5/21/2015,Pending Construction,$31276873.00,100,
37 - San Diego,5/21/2015,In Construction,$1055132831.00,246,
37 - San Diego,5/21/2015,In Closure,$87402576.00,178,
38 - San Francisco,5/21/2015,In Review,$933307222.00,72,Bay Area Counties
38 - San Francisco,5/21/2015,Pending Construction,$25827456.00,49,Bay Area Counties
38 - San Francisco,5/21/2015,In Construction,$1239860961.00,125,Bay Area Counties
38 - San Francisco,5/21/2015,In Closure,$62943467.00,26,Bay Area Counties
39 - San Joaquin,5/21/2015,In Review,$35566091.00,32,
39 - San Joaquin,5/21/2015,Pending Construction,$4195711.00,22,
39 - San Joaquin,5/21/2015,In Construction,$12565792.00,51,
39 - San Joaquin,5/21/2015,In Closure,$9564002.00,10,
40 - San Luis Obispo,5/21/2015,In Review,$1806486.00,9,
40 - San Luis Obispo,5/21/2015,Pending Construction,$295500.00,10,
40 - San Luis Obispo,5/21/2015,In Construction,$3647834.00,16,
40 - San Luis Obispo,5/21/2015,In Closure,$7731195.00,18,
41 - San Mateo,5/21/2015,In Review,$80973650.00,36,Bay Area Counties
41 - San Mateo,5/21/2015,Pending Construction,$146854935.00,25,Bay Area Counties
41 - San Mateo,5/21/2015,In Construction,$108435297.00,34,Bay Area Counties
41 - San Mateo,5/21/2015,In Closure,$45349136.00,20,Bay Area Counties
42 - Santa Barbara,5/21/2015,In Review,$14843375.00,22,
42 - Santa Barbara,5/21/2015,Pending Construction,$7947910.00,19,
42 - Santa Barbara,5/21/2015,In Construction,$374175382.00,54,
42 - Santa Barbara,5/21/2015,In Closure,$82458262.00,21,
43 - Santa Clara,5/21/2015,In Review,$257845513.00,93,Bay Area Counties
43 - Santa Clara,5/21/2015,Pending Construction,$24841808.00,55,Bay Area Counties
43 - Santa Clara,5/21/2015,In Construction,$1718687085.00,130,Bay Area Counties
43 - Santa Clara,5/21/2015,In Closure,$184486904.00,45,Bay Area Counties
44 - Santa Cruz,5/21/2015,In Review,$1163257.00,10,
44 - Santa Cruz,5/21/2015,Pending Construction,$141026.00,3,
44 - Santa Cruz,5/21/2015,In Construction,$11495689.00,14,
44 - Santa Cruz,5/21/2015,In Closure,$452534.00,6,
45 - Shasta,5/21/2015,In Review,$22831735.00,20,
45 - Shasta,5/21/2015,Pending Construction,$1778530.00,15,
45 - Shasta,5/21/2015,In Construction,$8449742.00,27,
45 - Shasta,5/21/2015,In Closure,$3810595.00,8,
46 - Sierra,5/21/2015,In Review,$0.00,0,
46 - Sierra,5/21/2015,Pending Construction,$0.00,0,
46 - Sierra,5/21/2015,In Construction,$0.00,0,
46 - Sierra,5/21/2015,In Closure,$0.00,0,
47 - Siskiyou,5/21/2015,In Review,$1793000.00,6,
47 - Siskiyou,5/21/2015,Pending Construction,$948307.00,4,
47 - Siskiyou,5/21/2015,In Construction,$896008.00,8,
47 - Siskiyou,5/21/2015,In Closure,$181064.00,4,
48 - Solano,5/21/2015,In Review,$59701838.00,22,Bay Area Counties
48 - Solano,5/21/2015,Pending Construction,$1219881.00,7,Bay Area Counties
48 - Solano,5/21/2015,In Construction,$45349573.00,31,Bay Area Counties
48 - Solano,5/21/2015,In Closure,$5036030.00,12,Bay Area Counties
49 - Sonoma,5/21/2015,In Review,$6934982.00,27,Bay Area Counties
49 - Sonoma,5/21/2015,Pending Construction,$2048318.00,22,Bay Area Counties
49 - Sonoma,5/21/2015,In Construction,$20875484.00,49,Bay Area Counties
49 - Sonoma,5/21/2015,In Closure,$125589355.00,21,Bay Area Counties
50 - Stanislaus,5/21/2015,In Review,$8995228.00,16,
50 - Stanislaus,5/21/2015,Pending Construction,$5618197.00,25,
50 - Stanislaus,5/21/2015,In Construction,$26640858.00,38,
50 - Stanislaus,5/21/2015,In Closure,$12904614.00,22,
51 - Sutter,5/21/2015,In Review,$12000.00,2,
51 - Sutter,5/21/2015,Pending Construction,$12703000.00,2,
51 - Sutter,5/21/2015,In Construction,$280767.00,2,
51 - Sutter,5/21/2015,In Closure,$0.00,0,
52 - Tehama,5/21/2015,In Review,$489636.00,3,
52 - Tehama,5/21/2015,Pending Construction,$399575.00,5,
52 - Tehama,5/21/2015,In Construction,$2195252.00,7,
52 - Tehama,5/21/2015,In Closure,$0.00,0,
53 - Trinity,5/21/2015,In Review,$178200.00,4,
53 - Trinity,5/21/2015,Pending Construction,$258500.00,2,
53 - Trinity,5/21/2015,In Construction,$1496842.00,2,
53 - Trinity,5/21/2015,In Closure,$0.00,0,
54 - Tulare,5/21/2015,In Review,$29302800.00,11,
54 - Tulare,5/21/2015,Pending Construction,$584000.00,8,
54 - Tulare,5/21/2015,In Construction,$79715247.00,24,
54 - Tulare,5/21/2015,In Closure,$2217050.00,9,
55 - Tuolumne,5/21/2015,In Review,$1405127.00,1,
55 - Tuolumne,5/21/2015,Pending Construction,$0.00,0,
55 - Tuolumne,5/21/2015,In Construction,$422961.00,3,
55 - Tuolumne,5/21/2015,In Closure,$525364.00,3,
56 - Ventura,5/21/2015,In Review,$88477372.00,46,Greater Los Angeles Counties
56 - Ventura,5/21/2015,Pending Construction,$15476027.00,42,Greater Los Angeles Counties
56 - Ventura,5/21/2015,In Construction,$569531002.00,97,Greater Los Angeles Counties
56 - Ventura,5/21/2015,In Closure,$39460332.00,35,Greater Los Angeles Counties
57 - Yolo,5/21/2015,In Review,$2687305.00,9,Greater Sacramento Counties
57 - Yolo,5/21/2015,Pending Construction,$229931.00,7,Greater Sacramento Counties
57 - Yolo,5/21/2015,In Construction,$4730254.00,13,Greater Sacramento Counties
57 - Yolo,5/21/2015,In Closure,$940236.00,2,Greater Sacramento Counties
58 - Yuba,5/21/2015,In Review,$5300000.00,3,
58 - Yuba,5/21/2015,Pending Construction,$46095275.00,4,
58 - Yuba,5/21/2015,In Construction,$94851513.00,6,
58 - Yuba,5/21/2015,In Closure,$239311.00,3,
01 - Alameda,6/4/2015,In Review,$157965826.00,61,Bay Area Counties
01 - Alameda,6/4/2015,Pending Construction,$55553647.00,124,Bay Area Counties
01 - Alameda,6/4/2015,In Construction,$620013281.00,143,Bay Area Counties
01 - Alameda,6/4/2015,In Closure,$1297882951.00,117,Bay Area Counties
02 - Alpine,6/4/2015,In Review,$0.00,0,
02 - Alpine,6/4/2015,Pending Construction,$0.00,0,
02 - Alpine,6/4/2015,In Construction,$0.00,0,
02 - Alpine,6/4/2015,In Closure,$0.00,0,
03 - Amador,6/4/2015,In Review,$6000.00,1,
03 - Amador,6/4/2015,Pending Construction,$68225.00,2,
03 - Amador,6/4/2015,In Construction,$3885131.00,5,
03 - Amador,6/4/2015,In Closure,$740744.00,6,
04 - Butte,6/4/2015,In Review,$3384470.00,9,
04 - Butte,6/4/2015,Pending Construction,$4329355.00,12,
04 - Butte,6/4/2015,In Construction,$87769831.00,17,
04 - Butte,6/4/2015,In Closure,$1809549.00,3,
05 - Calaveras,6/4/2015,In Review,$0.00,0,
05 - Calaveras,6/4/2015,Pending Construction,$0.00,0,
05 - Calaveras,6/4/2015,In Construction,$503577.00,4,
05 - Calaveras,6/4/2015,In Closure,$3202.00,1,
06 - Colusa,6/4/2015,In Review,$0.00,0,
06 - Colusa,6/4/2015,Pending Construction,$0.00,0,
06 - Colusa,6/4/2015,In Construction,$146603.00,2,
06 - Colusa,6/4/2015,In Closure,$61382.00,3,
07 - Contra Costa,6/4/2015,In Review,$37767400.00,38,Bay Area Counties
07 - Contra Costa,6/4/2015,Pending Construction,$13647092.00,37,Bay Area Counties
07 - Contra Costa,6/4/2015,In Construction,$24291921.00,60,Bay Area Counties
07 - Contra Costa,6/4/2015,In Closure,$18277768.00,32,Bay Area Counties
08 - Del Norte,6/4/2015,In Review,$2100000.00,2,
08 - Del Norte,6/4/2015,Pending Construction,$14000.00,2,
08 - Del Norte,6/4/2015,In Construction,$1203962.00,2,
08 - Del Norte,6/4/2015,In Closure,$0.00,0,
09 - El Dorado,6/4/2015,In Review,$8591234.00,8,Greater Sacramento Counties
09 - El Dorado,6/4/2015,Pending Construction,$3503000.00,2,Greater Sacramento Counties
09 - El Dorado,6/4/2015,In Construction,$7772280.00,10,Greater Sacramento Counties
09 - El Dorado,6/4/2015,In Closure,$33600918.00,4,Greater Sacramento Counties
10 - Fresno,6/4/2015,In Review,$37738565.00,22,
10 - Fresno,6/4/2015,Pending Construction,$12677143.00,35,
10 - Fresno,6/4/2015,In Construction,$79223878.00,80,
10 - Fresno,6/4/2015,In Closure,$194872533.00,56,
11 - Glenn,6/4/2015,In Review,$12912075.00,1,
11 - Glenn,6/4/2015,Pending Construction,$50000.00,1,
11 - Glenn,6/4/2015,In Construction,$284685.00,1,
11 - Glenn,6/4/2015,In Closure,$50000.00,1,
12 - Humboldt,6/4/2015,In Review,$12199500.00,8,
12 - Humboldt,6/4/2015,Pending Construction,$687000.00,6,
12 - Humboldt,6/4/2015,In Construction,$88469575.00,11,
12 - Humboldt,6/4/2015,In Closure,$1174079.00,7,
13 - Imperial,6/4/2015,In Review,$570000.00,5,
13 - Imperial,6/4/2015,Pending Construction,$20324000.00,2,
13 - Imperial,6/4/2015,In Construction,$8826458.00,9,
13 - Imperial,6/4/2015,In Closure,$220500.00,3,
14 - Inyo,6/4/2015,In Review,$30000.00,1,
14 - Inyo,6/4/2015,Pending Construction,$0.00,0,
14 - Inyo,6/4/2015,In Construction,$49196.00,2,
14 - Inyo,6/4/2015,In Closure,$50000.00,2,
15 - Kern,6/4/2015,In Review,$12175871.00,25,
15 - Kern,6/4/2015,Pending Construction,$1916326.00,16,
15 - Kern,6/4/2015,In Construction,$64646783.00,33,
15 - Kern,6/4/2015,In Closure,$8269553.00,19,
16 - Kings,6/4/2015,In Review,$0.00,0,
16 - Kings,6/4/2015,Pending Construction,$65000.00,2,
16 - Kings,6/4/2015,In Construction,$28255428.00,2,
16 - Kings,6/4/2015,In Closure,$344252.00,8,
17 - Lake,6/4/2015,In Review,$2106374.00,4,
17 - Lake,6/4/2015,Pending Construction,$230000.00,2,
17 - Lake,6/4/2015,In Construction,$11322123.00,10,
17 - Lake,6/4/2015,In Closure,$2157791.00,10,
18 - Lassen,6/4/2015,In Review,$0.00,0,
18 - Lassen,6/4/2015,Pending Construction,$1897600.00,8,
18 - Lassen,6/4/2015,In Construction,$918900.00,8,
18 - Lassen,6/4/2015,In Closure,$518863.00,3,
19 - Los Angeles,6/4/2015,In Review,$575843993.00,573,Greater Los Angeles Counties
19 - Los Angeles,6/4/2015,Pending Construction,$221622720.00,486,Greater Los Angeles Counties
19 - Los Angeles,6/4/2015,In Construction,$874317206.00,868,Greater Los Angeles Counties
19 - Los Angeles,6/4/2015,In Closure,$1279159807.00,589,Greater Los Angeles Counties
20 - Madera,6/4/2015,In Review,$5786257.00,9,
20 - Madera,6/4/2015,Pending Construction,$1449110.00,12,
20 - Madera,6/4/2015,In Construction,$4292773.00,14,
20 - Madera,6/4/2015,In Closure,$781588.00,11,
21 - Marin,6/4/2015,In Review,$214754543.00,30,Bay Area Counties
21 - Marin,6/4/2015,Pending Construction,$3069399.00,14,Bay Area Counties
21 - Marin,6/4/2015,In Construction,$32942559.00,21,Bay Area Counties
21 - Marin,6/4/2015,In Closure,$3007849.00,15,Bay Area Counties
22 - Mariposa,6/4/2015,In Review,$198686.00,1,
22 - Mariposa,6/4/2015,Pending Construction,$0.00,0,
22 - Mariposa,6/4/2015,In Construction,$163850.00,1,
22 - Mariposa,6/4/2015,In Closure,$0.00,0,
23 - Mendocino,6/4/2015,In Review,$561044.00,13,
23 - Mendocino,6/4/2015,Pending Construction,$289550.00,11,
23 - Mendocino,6/4/2015,In Construction,$66158281.00,20,
23 - Mendocino,6/4/2015,In Closure,$686217.00,6,
24 - Merced,6/4/2015,In Review,$105266.00,5,
24 - Merced,6/4/2015,Pending Construction,$451000.00,8,
24 - Merced,6/4/2015,In Construction,$13196524.00,7,
24 - Merced,6/4/2015,In Closure,$443097.00,3,
25 - Modoc,6/4/2015,In Review,$0.00,0,
25 - Modoc,6/4/2015,Pending Construction,$0.00,0,
25 - Modoc,6/4/2015,In Construction,$0.00,0,
25 - Modoc,6/4/2015,In Closure,$0.00,0,
26 - Mono,6/4/2015,In Review,$95397.00,1,
26 - Mono,6/4/2015,Pending Construction,$60000.00,1,
26 - Mono,6/4/2015,In Construction,$22398.00,4,
26 - Mono,6/4/2015,In Closure,$0.00,0,
27 - Monterey,6/4/2015,In Review,$19298481.00,22,
27 - Monterey,6/4/2015,Pending Construction,$1699227.00,10,
27 - Monterey,6/4/2015,In Construction,$35125936.00,10,
27 - Monterey,6/4/2015,In Closure,$284770.00,1,
28 - Napa,6/4/2015,In Review,$2941600.00,21,Bay Area Counties
28 - Napa,6/4/2015,Pending Construction,$27140.00,4,Bay Area Counties
28 - Napa,6/4/2015,In Construction,$34940427.00,19,Bay Area Counties
28 - Napa,6/4/2015,In Closure,$49163721.00,10,Bay Area Counties
29 - Nevada,6/4/2015,In Review,$5512200.00,7,
29 - Nevada,6/4/2015,Pending Construction,$400000.00,2,
29 - Nevada,6/4/2015,In Construction,$47644849.00,24,
29 - Nevada,6/4/2015,In Closure,$9779143.00,9,
30 - Orange,6/4/2015,In Review,$40999202.00,85,Greater Los Angeles Counties
30 - Orange,6/4/2015,Pending Construction,$19230963.00,73,Greater Los Angeles Counties
30 - Orange,6/4/2015,In Construction,$120056771.00,190,Greater Los Angeles Counties
30 - Orange,6/4/2015,In Closure,$81182846.00,176,Greater Los Angeles Counties
31 - Placer,6/4/2015,In Review,$8483567.00,21,Greater Sacramento Counties
31 - Placer,6/4/2015,Pending Construction,$904786.00,12,Greater Sacramento Counties
31 - Placer,6/4/2015,In Construction,$23457994.00,33,Greater Sacramento Counties
31 - Placer,6/4/2015,In Closure,$101269507.00,21,Greater Sacramento Counties
32 - Plumas,6/4/2015,In Review,$113118.00,2,
32 - Plumas,6/4/2015,Pending Construction,$102437.00,5,
32 - Plumas,6/4/2015,In Construction,$76962.00,2,
32 - Plumas,6/4/2015,In Closure,$0.00,0,
33 - Riverside,6/4/2015,In Review,$202422126.00,89,
33 - Riverside,6/4/2015,Pending Construction,$260168572.00,75,
33 - Riverside,6/4/2015,In Construction,$133831171.00,126,
33 - Riverside,6/4/2015,In Closure,$20153727.00,76,
34 - Sacramento,6/4/2015,In Review,$93483977.00,68,Greater Sacramento Counties
34 - Sacramento,6/4/2015,Pending Construction,$105064587.00,46,Greater Sacramento Counties
34 - Sacramento,6/4/2015,In Construction,$283155105.00,130,Greater Sacramento Counties
34 - Sacramento,6/4/2015,In Closure,$115890649.00,60,Greater Sacramento Counties
35 - San Benito,6/4/2015,In Review,$103388.00,1,
35 - San Benito,6/4/2015,Pending Construction,$205414.00,3,
